Players,Tournaments Entered,Total Sets Played,Sets won,Sets lost,Placement Average,Average Win rate
Baskin Robbins,1,8,8,0,1,100
comet,1,7,6,1,1,86
Samurai,9,72,56,16,2.67,77.11
Spencer,1,8,6,2,2,75
Eyas,8,65,49,16,2.38,75
Sophist,10,72,55,17,3.8,74.5
Toland,1,7,5,2,3,71
Kaiju,9,69,48,21,4.11,68.89
Dinkleberg,1,3,2,1,9,67
DoubleW,2,12,8,4,6.5,65.5
CHICO,5,33,22,11,4.8,65
ICHIGO,12,83,55,28,4.58,64.17
Leo,1,8,5,3,3,63
TheDood22,12,75,46,29,7.17,61.17
Pidgeon,3,22,13,9,5.67,58.67
SagesScribbles,2,12,7,5,7,58.5
Cal,10,69,41,28,5.7,57.5
Shinta,7,44,24,20,6.71,54
Haus,2,15,8,7,4.5,53
Frog Lady,2,13,7,6,10,51.5
ZachKirklander,1,4,2,2,9,50
bellyache,8,46,22,24,8.5,49.13
BeastMaster6027,2,11,6,5,11,48
DrMichaelBay,5,24,11,13,9,48
mjmd,4,25,11,14,7,42.5
Redline,2,10,4,6,9,40
Reos,2,10,4,6,10,37.5
Aerials,1,3,1,2,17,33
Nephenee,1,3,1,2,13,33
LOWTIERGAWD,1,3,1,2,17,33
Cool Ranch Papadilla,1,3,1,2,13,33
Enanito,1,3,1,2,17,33
Brady,1,3,1,2,13,33
EnderShel,1,3,1,2,9,33
KnightWolf,2,6,2,4,11,33
Payday,6,21,6,15,10,26.17
Thumbs,10,42,12,30,10.4,26.1
The_Verminator,3,12,3,9,9.67,25
Lv.3 Aisan,6,23,6,17,11.67,24.83
Zxtra,4,15,4,11,11.5,24.5
Rainstorm,6,21,4,17,12.33,22
brotherpig10,1,5,1,4,17,20
PumpkinPie,1,5,1,4,7,20
Lancer,2,7,1,6,13,16.5
Vince,2,6,1,5,13,16.5
goober,6,25,2,23,12.33,8.83
TDollas,3,10,1,9,13,8.33
Helix,9,34,1,33,14.11,1.89
Yung Gov,1,5,0,5,13,0
Fort,1,4,0,4,17,0
.....,1,3,0,3,19,0
D.J.,1,4,0,4,9,0
Randomcasual,1,4,0,4,17,0
Coldramen,1,3,0,3,13,0
Riley,1,2,0,2,9,0
Marcato,1,2,0,2,13,0
armanistraitjacket,1,3,0,3,19,0
Max,1,3,0,3,13,0
Jisp,1,3,0,3,19,0
Grand Total,202,1116,583,533,8.27,44.6
