Players,Tournaments Entered,Total Sets Played,Sets won,Sets lost,Placement Average,Average Win rate,Sets per Tournament
Baskin Robbins,1,8,8,0,1.0,100.0,8.0
comet,1,7,6,1,1.0,86.0,7.0
Samurai,9,72,56,16,2.67,77.11,8.0
Spencer,1,8,6,2,2.0,75.0,8.0
Eyas,8,65,49,16,2.38,75.0,8.125
Sophist,10,72,55,17,3.8,74.5,7.2
Toland,1,7,5,2,3.0,71.0,7.0
Kaiju,9,69,48,21,4.11,68.89,7.666666666666667
Dinkleberg,1,3,2,1,9.0,67.0,3.0
DoubleW,2,12,8,4,6.5,65.5,6.0
CHICO,5,33,22,11,4.8,65.0,6.6
ICHIGO,12,83,55,28,4.58,64.17,6.916666666666667
Leo,1,8,5,3,3.0,63.0,8.0
TheDood22,12,75,46,29,7.17,61.17,6.25
Pidgeon,3,22,13,9,5.67,58.67,7.333333333333333
SagesScribbles,2,12,7,5,7.0,58.5,6.0
Cal,10,69,41,28,5.7,57.5,6.9
Shinta,7,44,24,20,6.71,54.0,6.285714285714286
Haus,2,15,8,7,4.5,53.0,7.5
Frog Lady,2,13,7,6,10.0,51.5,6.5
ZachKirklander,1,4,2,2,9.0,50.0,4.0
bellyache,8,46,22,24,8.5,49.13,5.75
BeastMaster6027,2,11,6,5,11.0,48.0,5.5
DrMichaelBay,5,24,11,13,9.0,48.0,4.8
mjmd,4,25,11,14,7.0,42.5,6.25
Redline,2,10,4,6,9.0,40.0,5.0
Reos,2,10,4,6,10.0,37.5,5.0
Aerials,1,3,1,2,17.0,33.0,3.0
Nephenee,1,3,1,2,13.0,33.0,3.0
LOWTIERGAWD,1,3,1,2,17.0,33.0,3.0
Cool Ranch Papadilla,1,3,1,2,13.0,33.0,3.0
Enanito,1,3,1,2,17.0,33.0,3.0
Brady,1,3,1,2,13.0,33.0,3.0
EnderShel,1,3,1,2,9.0,33.0,3.0
KnightWolf,2,6,2,4,11.0,33.0,3.0
Payday,6,21,6,15,10.0,26.17,3.5
Thumbs,10,42,12,30,10.4,26.1,4.2
The_Verminator,3,12,3,9,9.67,25.0,4.0
LV 3 Aisan,6,23,6,17,11.67,24.83,3.8333333333333335
Zxtra,4,15,4,11,11.5,24.5,3.75
Rainstorm,6,21,4,17,12.33,22.0,3.5
brotherpig10,1,5,1,4,17.0,20.0,5.0
PumpkinPie,1,5,1,4,7.0,20.0,5.0
Lancer,2,7,1,6,13.0,16.5,3.5
Vince,2,6,1,5,13.0,16.5,3.0
goober,6,25,2,23,12.33,8.83,4.166666666666667
TDollas,3,10,1,9,13.0,8.33,3.3333333333333335
Helix,9,34,1,33,14.11,1.89,3.7777777777777777
Yung Gov,1,5,0,5,13.0,0.0,5.0
Fort,1,4,0,4,17.0,0.0,4.0
.....,1,3,0,3,19.0,0.0,3.0
D.J.,1,4,0,4,9.0,0.0,4.0
Randomcasual,1,4,0,4,17.0,0.0,4.0
Coldramen,1,3,0,3,13.0,0.0,3.0
Riley,1,2,0,2,9.0,0.0,2.0
Marcato,1,2,0,2,13.0,0.0,2.0
armanistraitjacket,1,3,0,3,19.0,0.0,3.0
Max,1,3,0,3,13.0,0.0,3.0
Jisp,1,3,0,3,19.0,0.0,3.0
Grand Total,202,1116,583,533,8.27,44.6,5.524752475247524
